	GMP.1	GMP.2	GMP.3	GMP.4	GMP.5	GMP.6	GMP.7	GMP.8	GMP.9	GMP.10	GMP.11	GMP.12	GMP.13	GMP.14	GMP.15	GMP.16	GMP.17	GMP.18	GMP.19	GMP.20	GMP.21	GMP.22	GMP.23	GMP.24	GMP.25	GMP.26	GMP.27	GMP.28	GMP.29	GMP.30	GMP.31	GMP.32	GMP.33	GMP.34	GMP.35	GMP.36	GMP.37	GMP.38	GMP.39	GMP.40	GMP.41	GMP.42	GMP.43	GMP.44	GMP.45	GMP.46	GMP.47	GMP.48	GMP.49	GMP.50
Fam107b	8.48797764814459	9.17938932543782	5.81666697606667	8.82801843184075	10.6589621176825	7.95715880934645	8.41769741566849	8.66674486194782	8.49391400272651	8.90594101256694	8.34757431808685	6.91643752105295	9.78663075167495	6.89663871859234	10.5752726198071	9.88924233830922	9.57603201137283	7.66407032265518	9.05254520564147	10.3580475362079	8.97384681436833	9.69175283874512	10.6591367048168	10.4702817751671	10.1062017421611	8.8685465545199	2.50577926280305	9.13737824992244	10.545322960848	8.19777736134985	9.70066150029307	9.56573222890177	9.04558647739322	10.4038762443035	8.91689917976757	9.28224966864396	9.60093057679857	9.14490029481884	9.5214702700805	9.46836834098415	10.9578138237205	8.27298490170828	5.82629402537488	10.0901804837069	9.0375893911473	9.69282168655296	11.150649302229	8.67594401447093	7.78719602464426	9.89035146843419
Pld3	1.34667388550121	0.0	6.97230106301846	4.24030271114837	0.0	0.743655904339326	1.31552126342563	7.58280896918918	0.64478157905425	1.10201904175974	1.76034424987457	8.54088431535336	1.54354356973716	0.0	6.08704744371049	0.38253531271527	1.12189611731354	0.0	0.0	5.55427534251577	7.95990683385382	6.85874728284368	2.02688373027258	6.78706769625396	7.12300681133212	0.797420952418527	8.47519297494311	0.0	0.4504553604672	4.20707271337611	0.425933270541342	0.0	0.0	0.0	0.0	0.0	1.39467970000457	0.0	1.41988816250163	0.0	7.46179689949779	0.0	0.0	0.0	0.0	1.03774550821433	0.0	1.30621023874047	4.09919818391676	5.10653569149746
Rab11fip4	0.0	1.30175963083815	0.0	0.0	2.24598917779918	0.0	0.802781518971799	0.0	6.51033549518768	0.653770365763334	0.0	0.0	0.0	0.0	0.0	0.0	3.80111827862973	1.76665572175421	0.0	0.0	0.0	0.0	1.34347500672802	0.0	0.0	0.0	1.3560612240596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.877998489585888	0.939208951009561	0.0	0.331643362319327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atp1b2	2.03086648185735	1.30175963083815	8.9674620569001	1.99396702477734	1.73974616389398	8.31887357522482	2.9448867187358	2.63476852876913	1.70221878638956	0.653770365763334	3.22608665959747	7.04546811098979	1.43419204778318	1.50533970689391	2.33897189433973	1.90021065479132	1.74530460816018	2.20287662924643	0.0	0.800554765606753	2.77292190489555	2.47819144910892	3.1190391899402	2.59450536322452	2.78956230050838	2.22957471218262	1.73975315292835	0.693987302944079	0.0	1.67069859337895	0.75435954699815	3.28532684432208	1.8840128575682	2.06151190836723	2.23001523441533	1.61923760013546	0.723969739267883	0.822800858894956	1.41988816250163	0.939208951009561	1.02226873608716	1.73379441370306	1.92105525631768	0.661245788619251	1.27663739880179	1.03774550821433	1.07400064026488	1.30621023874047	3.18101087892724	1.64858707306669
Ankrd6	0.0	0.983212587321725	0.0	0.0	0.0	0.743655904339326	0.0	0.0	0.0	0.0	1.13349432641161	0.0	0.0	0.0	0.0	0.38253531271527	1.12189611731354	0.0	0.0	0.0	0.980014077278177	0.0	0.0	0.0	2.18539716476267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02578236220062	0.0	0.0	0.0	0.0	0.0	0.331643362319327	0.0	0.0	0.962357180640882	0.0	0.0	0.0	0.0	0.0
Wdr36	0.825073691800591	5.17660413883599	1.57397393196536	6.65736585660687	7.96550085679903	6.23238239966028	5.97246935275604	1.03008946685305	7.65136322134601	0.653770365763334	2.52996560010588	1.32589123127226	7.96433935085228	8.33454210097647	8.00873852437759	0.684604713656068	3.91799860391682	1.76665572175421	3.53208344711918	7.30272589402923	8.24528043621632	6.2562135444047	3.1190391899402	5.51217626532649	6.0195542170982	1.98257040491797	0.0	8.01802685495894	7.36468409932118	1.67069859337895	6.09411975390869	6.86951057247602	4.208791806526	2.06151190836723	1.50878087466048	8.30833577122048	2.29581825296256	5.05706641873427	0.0	6.5774301415207	2.03327551812011	0.828093827779662	8.1702303166147	7.08017161345126	6.78856430965961	2.64733397575001	6.65067398488543	5.83214602018824	4.25973974710243	7.97054265977596
Zfp758	0.0	0.573792624783881	0.0	1.31710373466391	6.82411447608841	1.59609584325308	0.0	0.0	2.13126526765824	0.0	0.0	0.0	1.91312887797453	0.0	0.0	0.684604713656068	0.0	3.82929505701967	8.5673437513745	0.0	0.0	6.28469461380073	1.34347500672802	6.23184209506279	2.18539716476267	1.30800130527133	0.0	0.0	6.63247703451582	0.0	6.2190994849343	7.47716880627946	0.0	1.37134564754711	0.691741001338206	0.0	0.0	0.822800858894956	7.30843808080633	8.2812674237289	0.0	1.19675194887636	0.0	0.0	0.0	0.0	2.70626889181604	0.0	5.0564835925673	7.37614368755428
Gja1	2.67838266073829	6.42604740345247	2.10279064619573	1.31710373466391	0.953008607182362	7.26131892398981	0.802781518971799	2.04490209165825	0.64478157905425	1.44351295627304	2.19587805341456	1.32589123127226	1.54354356973716	2.07659378790718	0.857490531418402	8.11848050187614	0.0	2.20287662924643	6.64875875596609	0.45510795650219	2.28981635692187	2.66311295831389	2.48873466452755	0.782386900187965	7.17116314324675	0.0	2.04254170534396	5.25038966871162	1.3021060822326	7.68836639218043	4.21066203787136	2.91879035451771	1.22989638206685	6.17832210942147	1.79115818821749	1.02578236220062	1.20379087646565	1.34350639868065	1.8128972077372	1.50332489086003	1.02226873608716	1.73379441370306	2.7167712664292	1.11296381374	0.962357180640882	1.63507353557453	1.07400064026488	3.18602662037306	1.59328488474161	6.2154988597944
9030619P08Rik	0.825073691800591	3.61281480413915	1.21297878169714	1.31710373466391	1.26535191927496	0.0	1.69304469008247	3.37564530545868	1.70221878638956	1.719445362227	3.22608665959747	0.810186844231269	6.83007650190879	5.2569363257819	0.0	0.934246481893767	3.91799860391682	0.0	1.37028656544241	0.0	1.55825260022284	0.817211916805725	2.48873466452755	2.20159335726195	2.51887748428014	1.30800130527133	0.0	7.51755755345521	1.06998701527863	1.67069859337895	0.425933270541342	1.67236770297154	2.33242274530725	2.06151190836723	1.50878087466048	7.58222203692273	1.56323724616694	4.84187859543001	3.35276731894879	0.0	1.02226873608716	0.331643362319327	1.92105525631768	7.53838566717499	0.0	1.63507353557453	0.0	6.89279012989409	2.33190921012446	1.64858707306669
Prtn3	11.3738703364864	12.5185420797813	2.30873173297221	12.587325766791	12.3926688595092	4.58075218156074	12.4558305956468	12.3627625780491	12.3401904676822	3.26290166916748	11.8111456074369	4.46573150125857	12.5427781457552	11.7131630018627	11.7949836108998	11.9350587775749	12.6049371681416	12.1650484394794	12.0975534003482	12.326716199789	9.6480471781992	12.1366328010069	8.27640943660202	12.9336020271935	12.5296340964522	12.6809988761394	2.29267388063772	9.92953851553087	12.2684561095123	9.34815003844212	13.0811544562596	12.5185384483794	12.6175803443393	12.3984195931723	9.68142056330632	10.265388896271	9.77091821500315	8.07731160070526	7.40431214258833	9.98960250193974	12.26577696848	6.78558555526003	12.2726076929308	10.1563597257935	13.2909914541389	8.9135737847077	11.0300137715185	11.2492608841446	9.85950951112485	12.0208107360652
